Census_Tract,FIPS ,CITYNAME,Service_Area,Male,Female,White,African_American,Native_ American,Asian,Pacific Islander,Other,Multi-Race,Latino,Total_Population,GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
106010,44000,Los Angeles city - Sylmar,2,1629,1717,637,176,8,183,2,6,51,2283,3346,1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",106010,Sylmar,"(34.3231715, -118.444538)",34.3231715,-118.444538
106020,44000,Los Angeles city - Sylmar,2,2979,3047,896,136,12,186,3,16,80,4697,6026,1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",106020,Sylmar,"(34.320427, -118.428524)",34.320427,-118.428524
106111,44000,Los Angeles city - Sylmar,2,2277,2248,1188,205,13,319,1,11,69,2719,4525,1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,"(34.3231945, -118.4087995)",34.3231945,-118.40879950000001
106111,99037,Unincorporated County - Kagel/Lopez Canyons,2,0,0,0,0,0,0,0,0,0,0,0,1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,"(34.3231945, -118.4087995)",34.3231945,-118.40879950000001
106112,44000,Los Angeles city - Sylmar,2,3169,3147,938,220,17,581,6,15,91,4448,6316,1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",106112,Sylmar,"(34.305005, -118.414298)",34.305005,-118.414298
106113,44000,Los Angeles city - Sylmar,2,1843,1797,505,72,25,154,4,2,19,2859,3640,1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",106113,Sylmar,"(34.3062, -118.42203)",34.3062,-118.42203
106114,44000,Los Angeles city - Sylmar,2,3182,3291,435,210,26,143,1,11,71,5576,6473,1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,"(34.302675, -118.426951)",34.302675,-118.426951
106403,44000,Los Angeles city - Sylmar,2,2122,2040,277,45,4,52,0,7,22,3755,4162,1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",106403,Sylmar,"(34.306005, -118.441288)",34.306005,-118.44128799999999
106405,44000,Los Angeles city - Sylmar,2,2124,2231,391,265,12,130,1,5,25,3526,4355,1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",106405,Sylmar,"(34.3146865, -118.448309)",34.3146865,-118.44830900000001
106406,44000,Los Angeles city - Sylmar,2,2617,2777,893,132,36,321,2,8,61,3941,5394,1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",106406,Sylmar,"(34.321542, -118.4587415)",34.321542,-118.4587415
106407,44000,Los Angeles city - Sylmar,2,1418,1642,333,186,4,69,8,2,19,2439,3060,1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",106407,Sylmar,"(34.3105765, -118.4365505)",34.3105765,-118.4365505
106408,44000,Los Angeles city - Sylmar,2,1944,1989,148,117,5,152,0,10,37,3464,3933,1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",106408,Sylmar,"(34.3132585, -118.440082)",34.3132585,-118.440082
106510,44000,Los Angeles city - Sylmar,2,2880,2662,1057,343,16,408,2,14,76,3626,5542,1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",106510,Sylmar,"(34.3236325, -118.4860245)",34.3236325,-118.48602450000001
106520,44000,Los Angeles city - Sylmar,2,3210,3142,639,69,19,70,0,3,41,5511,6352,1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",106520,Sylmar,"(34.308856, -118.4613605)",34.308856,-118.4613605
106603,44000,Los Angeles city - Granada Hills,2,1514,1545,1671,103,7,629,0,10,139,500,3059,1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,"(34.3189225, -118.5218285)",34.3189225,-118.5218285
106603,99037,Unincorporated County - Stevenson Ranch,2,0,0,0,0,0,0,0,0,0,0,0,1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,"(34.3189225, -118.5218285)",34.3189225,-118.5218285
